Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR
I-16,WB,22,21.99756629,3,12.85,NC,NC,NC,NC,NC,,,,
I-16,WB,21.99756629,21.99428598,4,17.32,NC,NC,NC,NC,NC,,,,
I-16,WB,21.99428598,21.99124432,5,16.06,NC,NC,NC,NC,NC,,,,
I-16,WB,21.99124432,21.98716856,6,21.52,NC,NC,NC,NC,NC,,,,
I-16,WB,21.98716856,21.98280871,7,23.02,NC,NC,NC,NC,NC,,,,
I-16,WB,21.98280871,21.97955302,8,17.19,NC,NC,NC,NC,NC,,,,
I-16,WB,21.97955302,21.97660227,9,15.58,NC,NC,NC,NC,NC,,,,
I-16,WB,21.97660227,21.97237499,10,22.32,NC,NC,NC,NC,NC,,,,
I-16,WB,21.97237499,21.96792423,11,23.5,NC,NC,NC,NC,NC,,,,
I-16,WB,21.96792423,21.96469128,12,17.07,NC,NC,NC,NC,NC,,,,
I-16,WB,21.96469128,21.96168938,13,15.85,NC,NC,NC,NC,NC,,,,
I-16,WB,21.96168938,21.95753029,14,21.96,NC,NC,NC,NC,NC,,,,
I-16,WB,21.95753029,21.95314014,15,23.18,NC,NC,NC,NC,NC,,,,
I-16,WB,21.95314014,21.94981059,16,17.58,NC,NC,NC,NC,NC,,,,
I-16,WB,21.94981059,21.94680112,17,15.89,NC,NC,NC,NC,NC,,,,
I-16,WB,21.94680112,21.94259847,18,22.19,NC,NC,NC,NC,NC,,,,
I-16,WB,21.94259847,21.93834468,19,22.46,NC,NC,NC,NC,NC,,,,
I-16,WB,21.93834468,21.93504733,20,17.41,NC,NC,NC,NC,NC,,,,
I-16,WB,21.93504733,21.93198104,21,16.19,NC,NC,NC,NC,NC,,,,
I-16,WB,21.93198104,21.92772914,22,22.45,NC,NC,NC,NC,NC,,,,
I-16,WB,21.92772914,21.92341854,23,22.76,NC,NC,NC,NC,NC,,,,
