,Interstate,Direction,MP From,MP To,2014 Slab ID,BY Length (ft),2014,2015,2016,2017,2018,Replaced,Year Replaced,Replaced and Broken,Possibly OR,possibly_replaced_or_bridge,x,y,deteriorated,dist
0,I-16,WB,22.0,21.99756629,3,12.85,R,R,R,R,R,,,,,1,-83.39209388779946,32.635684482506626,0,0
1,I-16,WB,21.99756629,21.99428598,4,17.32,NC,NC,NC,NC,NC,,,,,0,-83.39212891122233,32.63570032784294,0,1
2,I-16,WB,21.99428598,21.99124432,5,16.06,NC,NC,NC,NC,NC,,,,,0,-83.3921761178894,32.63572168541322,0,2
3,I-16,WB,21.99124432,21.98716856,6,21.52,NC,NC,NC,NC,NC,,,,,0,-83.39221989035224,32.63574148954373,0,3
4,I-16,WB,21.98716856,21.98280871,7,23.02,NC,NC,NC,NC,NC,,,,,0,-83.39227854436075,32.6357680270137,0,4
5,I-16,WB,21.98280871,21.97955302,8,17.19,NC,NC,NC,NC,NC,,,,,0,-83.39234128670441,32.63579641476084,0,5
6,I-16,WB,21.97955302,21.97660227,9,15.58,NC,NC,NC,NC,NC,,,,,0,-83.39238813904402,32.63581761345495,0,6
7,I-16,WB,21.97660227,21.97237499,10,22.32,NC,NC,NC,NC,NC,,,,,0,-83.39243060323453,32.63583682697195,0,7
8,I-16,WB,21.97237499,21.96792423,11,23.5,NC,NC,NC,NC,NC,,,,,0,-83.39249143768309,32.635864352817954,0,8
9,I-16,WB,21.96792423,21.96469128,12,17.07,NC,NC,NC,NC,NC,,,,,0,-83.3925554882878,32.63589333445878,0,9
10,I-16,WB,21.96469128,21.96168938,13,15.85,NC,NC,NC,NC,NC,,,,,0,-83.39260201355555,32.63591438660337,0,10
11,I-16,WB,21.96168938,21.95753029,14,21.96,NC,NC,NC,NC,NC,,,,,0,-83.39264521364208,32.63593393442253,0,11
12,I-16,WB,21.95753029,21.95314014,15,23.18,NC,NC,NC,NC,NC,,,,,0,-83.39270506688351,32.63596101815123,0,10
13,I-16,WB,21.95314014,21.94981059,16,17.58,NC,NC,NC,NC,NC,,,,,0,-83.39276824530307,32.63598960709189,0,9
14,I-16,WB,21.94981059,21.94680112,17,15.89,NC,NC,NC,NC,NC,,,,,0,-83.39281616060009,32.63601128968728,0,8
15,I-16,WB,21.94680112,21.94259847,18,22.19,NC,NC,NC,NC,NC,,,,,0,-83.39285946970432,32.63603088817856,0,7
16,I-16,WB,21.94259847,21.93834468,19,22.46,NC,NC,NC,NC,NC,,,,,0,-83.3929199498175,32.636058257446514,0,6
17,I-16,WB,21.93834468,21.93504733,20,17.41,NC,NC,NC,NC,NC,,,,,0,-83.39298116582924,32.63608596027304,0,5
18,I-16,WB,21.93504733,21.93198104,21,16.19,NC,NC,NC,NC,NC,,,,,0,-83.3930286177765,32.63610743465695,0,4
19,I-16,WB,21.93198104,21.92772914,22,22.45,NC,NC,NC,NC,NC,,,,,0,-83.39307274454319,32.63612740452406,0,3
20,I-16,WB,21.92772914,21.92341854,23,22.76,NC,NC,NC,NC,NC,,,,,0,-83.39313393329469,32.63615509637153,0,2
21,I-16,WB,21.92341854,21.92012876,24,17.37,NC,NC,NC,NC,NC,,,,,0,-83.3931959669669,32.63618317115552,0,1
22,I-16,WB,21.92012876,21.91703217,25,16.35,T1,T1,T1,T1,T1,,,,,0,-83.39324330988677,32.636204597677114,0,0
23,I-16,WB,21.91703217,21.91290717,26,21.78,NC,NC,NC,NC,NC,,,,,0,-83.39328787273777,32.63622476629023,0,1
24,I-16,WB,21.91290717,21.9111155,27,9.46,R,R,R,R,R,,,,,1,-83.39334723535978,32.63625163354812,0,0
25,I-16,WB,21.9111155,21.90857573,28,13.41,R,R,R,R,R,,,,,1,-83.39337301912433,32.63626330332904,0,0
26,I-16,WB,21.90857573,21.9068958,29,8.87,R,R,R,R,R,,,,,1,-83.39340956883649,32.63627984596273,0,0
27,I-16,WB,21.9068958,21.90521777,30,8.86,R,R,R,R,R,,,,,1,-83.39343374452193,32.636290788141295,0,0
28,I-16,WB,21.90521777,21.90121967,31,21.11,NC,NC,NC,NC,NC,,,,,0,-83.39345789295152,32.63630171806878,0,1
