damaged_states,r2
"['SS', 'L2', 'CC', 'L1']",0.6298212343425713
"['SS', 'T1', 'CC', 'L1']",0.625747374130272
"['SS', 'T1', 'L2', 'CC', 'L1']",0.6152895124213613
"['SS', 'L2', 'CC', 'L1', 'T2']",0.6148285031701002
"['SS', 'L2', 'R', 'L1']",0.6065827189098039
"['SS', 'L2', 'R', 'CC', 'L1']",0.60629996843323
"['SS', 'T1', 'L2', 'CC', 'L1', 'T2']",0.603936169921113
"['SS', 'T1', 'L2', 'R', 'L1']",0.601769774450555
"['T1', 'R', 'L1', 'T2']",0.5908293333033012
"['SS', 'L2', 'R', 'L1', 'T2']",0.5896872630480536
"['SS', 'L2', 'L1', 'T2']",0.5792854934152432
"['T1', 'L2', 'L1', 'T2']",0.5775041455631411
"['T1', 'L2', 'CC', 'L1', 'T2']",0.5771440871062992
"['SS', 'T1', 'L2', 'R', 'CC', 'L1']",0.5770205535989454
"['SS', 'L2', 'R', 'T2']",0.576053993660069
"['SS', 'L2', 'R', 'CC', 'L1', 'T2']",0.5747108141816505
"['T1', 'L2', 'R', 'L1', 'T2']",0.5744826464099386
"['SS', 'T1', 'L2', 'R']",0.5739254550375192
"['SS', 'T1', 'R']",0.5731109334887946
"['SS', 'T1', 'L2', 'R', 'L1', 'T2']",0.5688816208426305
"['SS', 'L2', 'L1']",0.5673804481066574
"['SS', 'L2', 'R']",0.5653890476364116
"['SS', 'T1', 'R', 'CC', 'L1']",0.5631445195847451
"['SS', 'L2', 'R', 'CC']",0.5626586163907408
"['SS', 'T1', 'L2', 'L1', 'T2']",0.5616830349158659
"['L2', 'R', 'L1', 'T2']",0.5589420054727434
"['SS', 'T1', 'L2', 'R', 'T2']",0.5585824088160245
"['SS', 'R', 'L1', 'T2']",0.557669629190197
"['SS', 'T1', 'R', 'L1', 'T2']",0.5574777430044815
"['SS', 'T1', 'CC', 'L1', 'T2']",0.5553921776576249
"['SS', 'T1', 'R', 'CC']",0.5550454275342109
"['SS', 'T1', 'L2', 'R', 'CC', 'L1', 'T2']",0.5521497231156935
"['SS', 'T1', 'R', 'L1']",0.5515747563841289
"['SS', 'CC', 'L1']",0.5505896078941717
"['T1', 'L2', 'R', 'CC', 'L1', 'T2']",0.5486106411444269
"['T1', 'R', 'CC', 'L1', 'T2']",0.5440410531828148
"['SS', 'R', 'CC', 'L1', 'T2']",0.5438549474258042
"['R', 'L1', 'T2']",0.5399346282133339
"['SS', 'T1', 'R', 'CC', 'L1', 'T2']",0.5395866316931718
"['SS', 'T1', 'L2', 'R', 'CC']",0.5390375319621117
"['SS', 'T1', 'L1', 'T2']",0.5374285967407325
"['SS', 'T1', 'L2', 'L1']",0.5332698363006092
"['SS', 'T1', 'L2', 'T2']",0.5330104157975204
"['SS', 'L2', 'R', 'CC', 'T2']",0.5313664531599904
"['SS', 'CC', 'L1', 'T2']",0.528749906518353
"['L2', 'R', 'CC', 'L1', 'T2']",0.5255137683880192
"['SS', 'T1', 'L1']",0.5233936690091097
"['SS', 'L2', 'T2']",0.5200959639298572
"['SS', 'T1', 'L2', 'R', 'CC', 'T2']",0.5108087609742997
"['L2', 'CC', 'L1', 'T2']",0.5106152317620554
"['SS', 'L2', 'CC']",0.5063036095516955
"['SS', 'R', 'CC', 'L1']",0.5042154618694525
"['SS', 'T1', 'CC']",0.49332213129642954
"['R', 'CC', 'L1', 'T2']",0.4929873856576089
"['SS', 'T1', 'L2', 'CC', 'T2']",0.49282868722200357
"['SS', 'T1', 'CC', 'T2']",0.4920400963604187
"['SS', 'R', 'L1']",0.49156861887186065
"['SS', 'R', 'CC']",0.4904625673624633
"['SS', 'L2', 'CC', 'T2']",0.48670923927716336
"['SS', 'T1', 'T2']",0.4820861005720304
"['SS', 'L1', 'T2']",0.4812873393629652
"['SS', 'T1', 'L2', 'CC']",0.4798951842090672
"['L2', 'L1', 'T2']",0.474137128694184
"['SS', 'R']",0.4733372327014187
"['SS', 'R', 'T2']",0.4730313059309468
"['SS', 'T2']",0.46415068131337567
"['T1', 'CC', 'L1', 'T2']",0.4638703081018254
"['T1', 'L1', 'T2']",0.463169745098334
"['SS', 'L2']",0.4611978018351832
"['SS', 'L1']",0.4558110796110264
"['T1', 'L2', 'R', 'L1']",0.44789545779821505
"['T1', 'R', 'CC', 'T2']",0.44685409871402393
"['T1', 'L2', 'R', 'T2']",0.44237322040528715
"['SS', 'T1', 'R', 'T2']",0.4423480343579327
"['SS', 'R', 'CC', 'T2']",0.43908435239686006
"['SS', 'CC', 'T2']",0.4378070327694944
['SS'],0.43755368997045463
"['T1', 'R', 'T2']",0.4361818902174399
"['L1', 'T2']",0.4300210840282468
"['CC', 'L1', 'T2']",0.429717989361167
"['SS', 'CC']",0.42731574184158516
"['L2', 'R', 'L1']",0.42443824784946804
